"State","overallRank","higherEducationRank","prek12Rank"
"Massachusetts","1","27","1"
"New Jersey","2","30","2"
"Florida","3","1","27"
"Washington","4","2","19"
"New Hampshire","5","37","3"
"Nebraska","6","7","9"
"Virginia","7","14","8"
"Vermont","8","41","4"
"Iowa","9","8","13"
"Utah","10","6","22"
"Colorado","11","9","14"
"Connecticut","12","44","5"
"Maryland","13","17","11"
"Wisconsin","14","11","16"
"Kansas","15","13","15"
"Wyoming","16","3","34"
"Minnesota","17","20","12"
"South Dakota","18","10","23"
"Illinois","19","31","7"
"North Dakota","20","5","35"
"California","21","4","37"
"New York","22","15","25"
"Delaware","23","16","24"
"Indiana","24","39","6"
"North Carolina","25","12","28"
"Montana","26","19","20"
"Missouri","27","26","21"
"Maine","28","34","17"
"Hawaii","29","21","30"
"Georgia","30","25","31"
"Ohio","31","38","18"
"Pennsylvania","32","50","10"
"Idaho","33","35","26"
"Texas","34","32","33"
"Tennessee","35","23","38"
"Oregon","36","22","39"
"Michigan","37","42","29"
"Kentucky","38","43","32"
"Oklahoma","39","28","43"
"Arizona","40","24","44"
"Rhode Island","41","48","36"
"Arkansas","42","40","40"
"South Carolina","43","46","41"
"West Virginia","44","45","42"
"Nevada","45","18","48"
"Mississippi","46","33","45"
"Alaska","47","36","47"
"Louisiana","48","49","46"
"New Mexico","49","29","50"
"Alabama","50","47","49"