County,Biden % votes,Trump % votes,Biden # votes,Trump # votes
Adams,57.5,41.4,7917,5696
Alcorn,17.6,81.1,2782,12818
Amite,36.4,62.5,2620,4503
Attala,40.1,58.6,3542,5178
Benton,39.1,59.9,1679,2570
Bolivar,64.7,34,8904,4671
Calhoun,28.8,70.1,1902,4625
Carroll,30.3,68.8,1729,3924
Chickasaw,46.8,51.2,3810,4175
Choctaw,28,71,1185,3001
Claiborne,84.7,13.5,3772,603
Clarke,34,64.9,2838,5417
Clay,57.3,41,5844,4181
Coahoma,70.9,27.8,6130,2400
Copiah,50.2,48.5,6470,6250
Covington,36.5,62.5,3416,5854
DeSoto,37.1,60.9,28265,46462
Forrest,43.4,54.5,13755,17290
Franklin,33.2,65.5,1480,2923
George,11,87.8,1218,9713
Greene,16.6,82.4,966,4794
Grenada,43.4,55.7,4734,6081
Hancock,21.5,77,4504,16132
Harrison,36.5,61.7,27728,46822
Hinds,73.4,25.1,73550,25141
Holmes,81.2,16.9,6588,1369
Humphreys,72,26.7,3016,1118
Issaquena,52.5,45.6,355,308
Itawamba,11.5,87.2,1249,9438
Jackson,31.8,66.4,17375,36295
Jasper,49.7,49.2,4341,4302
Jefferson,85.1,13.6,3327,531
Jefferson Davis,57.9,40.8,3599,2534
Jones,28.3,70.5,8517,21226
Kemper,61,37.8,2887,1787
Lafayette,42.9,55.1,10070,12949
Lamar,25.7,72.6,7340,20704
Lauderdale,41.5,57.5,12960,17967
Lawrence,34.2,64.8,2260,4285
Leake,42.3,56.8,3897,5228
Lee,32.9,65.4,12189,24207
Leflore,70.2,28.7,7648,3129
Lincoln,30,68.9,5040,11596
Lowndes,48,50.6,13087,13800
Madison,43.4,55.2,24440,31091
Marion,31.3,67.8,3787,8273
Marshall,50.9,47.8,8057,7566
Monroe,34,64.7,5874,11177
Montgomery,41.8,57.4,2121,2917
Neshoba,27.8,71,3260,8320
Newton,30.2,68.7,3075,6997
Noxubee,75.6,23.2,4040,1240
Oktibbeha,52,45.4,10299,9004
Panola,47.3,51.6,7403,8060
Pearl River,17.2,81.5,4148,19595
Perry,23,76,1362,4500
Pike,49.8,48.8,8646,8479
Pontotoc,18.2,80.3,2614,11550
Prentiss,20.2,78.5,2139,8312
Quitman,66.6,31.8,2150,1026
Rankin,26.7,72,18847,50895
Scott,40.3,58.5,4330,6285
Sharkey,67.1,31.5,1465,688
Simpson,34.2,64.6,4037,7635
Smith,21.5,77.6,1791,6458
Stone,22.9,75.7,1802,5964
Sunflower,70,28.9,6781,2799
Tallahatchie,54.6,43.7,3105,2488
Tate,31.9,66.5,4183,8707
Tippah,19.2,79.7,1937,8054
Tishomingo,11.6,86.7,1059,7933
Tunica,72.4,26,2580,926
Union,17,81.8,2160,10373
Walthall,39.8,59.3,2835,4220
Warren,49.6,49.2,10442,10365
Washington,69.4,29.4,12503,5300
Wayne,36,62.7,3624,6307
Webster,19.3,79.4,1043,4291
Wilkinson,66.6,32.1,2749,1324
Winston,43.7,55.3,4040,5112
Yalobusha,42.6,56.1,2785,3671
Yazoo,52.6,46.3,5496,4832